Computer glitch causes delayed and canceled flights,2011,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P180
Computer glitch causes BART train service shutdown,2011,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P210
Malware a Factor in Spanair Plane Crash,2011,Transportation,Spain,https://www.risidata.com/Database/event_date/asc/P210
Water Utility Hack Destroys Pump,2011,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P210
South Houston Water Treatment Plant Hack,2011,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P210
Malware Shuts Down Hospital,2011,Other,United States,https://www.risidata.com/Database/event_date/asc/P210
Computer Glitch Causes Shutdown of Airport People Mover,2011,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P210
Computer Glitch Causes shutdown of 2 Amusement Park Rides,2012,Other,United States,https://www.risidata.com/Database/event_date/asc/P210
Industrial Control System Hacked Using Backdoor Posted Online,2012,Other,United States,https://www.risidata.com/Database/event_date/asc/P210
Wastewater Treatment District Hacked,2012,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P210
Process Control Network Infected with a Virus,2012,Petroleum,,https://www.risidata.com/Database/event_date/asc/P210
Computer Malfunction Blamed for Major Sewage Spill,2012,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc/P210
Auto Manufacturer Hacked,2012,Automotive,United States,https://www.risidata.com/Database/event_date/asc/P210
Iranian Oil Terminal offline after malware attack,2012,Petroleum,Iran,https://www.risidata.com/Database/event_date/asc/P210
Computer Glitch Stops Trains,2012,Transportation,The Philippines,https://www.risidata.com/Database/event_date/asc/P210
Gas Company Virus Infection,2012,Petroleum,,https://www.risidata.com/Database/event_date/asc/P210
Cascade of Computer Crashes Causes Metro System Shutdown,2012,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P210
Trains Shut Down Due to Computer Malfunction,2012,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P210
Computer Malfunction Causes Train Delays,2012,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P210
Computer Glitch Causes Roller Coaster Malfunction,2012,Other,United States,https://www.risidata.com/Database/event_date/asc/P210
Computer Virus Targets Saudi Arabian Oil Company,2012,Petroleum,Saudi Arabia,https://www.risidata.com/Database/event_date/asc/P210
Shamoon virus knocks out computers at Qatari gas firm RasGas,2012,Petroleum,Qatar,https://www.risidata.com/Database/event_date/asc/P210
Software Manufacturing Company Firewall Breach,2012,General Manufacturing,Canada,https://www.risidata.com/Database/event_date/asc/P210
U. S. Electric Utility Virus Infection,2012,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P210
U. S. Power Plant Infected With Malware,2012,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P210
Computer Glitch Leads to Shutdown of Nuclear Reactor,2012,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P210
Signal problems cause train delays,2013,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P210
Virus shuts down county highway department network,2013,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P210
U-2 spy plane caused widespread shutdown of U.S. flights: report,2014,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P210
After ‘Godzilla Attack!’ U.S. warns about traffic-sign hackers,2014,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P210
"Public utility compromised after brute-force hack attack, says Homeland Security",2014,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P210
Russian-Based Dragonfly Group Attacks Energy Industry,2014,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P240
German Steel Mill Cyber Attack,2014,Metals,Germany,https://www.risidata.com/Database/event_date/asc/P240
